tax_id	species	genus	family	order	class	phylum	superkingdom	barcode75	barcode31	barcode40	barcode18	barcode45	barcode21	barcode86	barcode94	barcode79	barcode84	barcode34	barcode58	barcode29	barcode52	barcode33	barcode35	barcode02	barcode82	barcode87	barcode05	barcode55	barcode25	barcode68	barcode54	barcode24	barcode03	barcode14	barcode56	barcode28	barcode59	barcode96	barcode13	barcode76	barcode19	barcode48	barcode74	barcode72	barcode16	barcode65	barcode50	barcode46	barcode77	barcode44	barcode70	barcode88	barcode90	barcode17	barcode95	barcode63	barcode64	barcode20	barcode41	barcode22	barcode30	barcode43	barcode60	barcode23	barcode92	barcode80	barcode93	barcode81	barcode01	barcode38	barcode71	barcode85	barcode61	barcode78	barcode15	barcode04	barcode62	barcode08	barcode83	barcode51	barcode91	barcode66	barcode09	barcode67	barcode10	barcode47	barcode27	barcode12	barcode69	barcode42	barcode37	barcode53	barcode39	barcode07	barcode49	barcode36	barcode32	barcode73	barcode89	barcode06	barcode26	barcode57	barcode11
12438								175.1914451699588	154.5427673759391	235.8226150215787	600.8409547804544	242.82307136836184	257.6675612081386	291.79472726161794		193.4179228783861	267.566905715773	137.78696306492196	169.91641219092762	409.9212334896288	248.39169099139195	183.4952152564075	112.40255432064576	561.1923336387174	118.16722652505985	258.48485004931786	975.1267413635568	161.9982523970438	200.86208681827415	104.53345599042302	119.84047474511016	643.347237413251	468.9923405859293	335.3522790421636	233.91776463465055	197.8938564566543	111.3210065371936		369.763861543913	123.92388505109592	162.56771197112735	419.826502109234	174.68355608348384	229.33696157367228	423.09806320518766	126.39960077022552	185.01042005142	110.30485341422084	169.81064085964996	126.90148544539731	217.20408370022915	320.44106713880007	133.44970721833613	176.10469606929672		107.89890521053204	99.16090973839827	428.3054682095021	220.00960778249012	621.5061304425031	342.7210970802675	219.1989666930689	398.0981296828489	298.1219220933317		214.58938384526925		262.8066666736321	379.4820907568239	395.572610130367	1086.922013882745	282.99556272373627	174.17841787448376	176.59916745585872	265.2155671466933	808.1335049001161	168.87457951492723	402.2516806048797	203.9658382107508	186.98491610470745		166.39225234828154	767.587370536794	151.57157102877582	490.96003956496713	127.98665110542676	317.98941828341754	68.97314975782962		170.91090974593448	186.21357914381372	316.9199780970499	194.5453480233214	595.6917038703272	268.4904054250998	102.49198860840168	265.7957326710608	235.0339296323712	187.04625741580512	530.4081866232124	160.7200788244282	145.0044475375222	413.3908753984937
12454																								13.582027000935955																																															13.091900201620826					13.76098774865451								14.403575258335032													12.82839610869311			11.069000147343528			
1246																																																																																												15.208791680146298											
12464																																																																																																							13.047143766718522
1251									15.555193468253051		17.28520048025982	25.809139157564733	16.79967072438873							18.929021236110707	20.757140936347717						14.495723586247289					26.58924142480729	25.446599625980586		18.12715179123656	19.57504341354503						20.352203777432333						15.415304186710564										19.641043023032623					20.84517065377506	24.54101384214992						20.17967046289508		18.45417575536176		37.40806235073212		18.25067038176479	17.686124082702655			18.59891205802357			25.82285862839777		17.270994570867504		26.098928990961927					26.718651688336102		36.708302205696256			20.51599908498985			20.85582133288563			24.09305181739516
12664																				17.188836378156584												25.44780455221631		11.409186911130249								23.55295346280338																				12.276606634181189		26.77064301663165						12.074236327786585													17.133047231941063		16.893875438785745		11.204186337643533																19.188973889819923
12699																																																																							17.831125985530438																																
12711																					14.46086108027846		15.681618325220107																			11.256600847621954																																									22.338755039160255																				
12729																																32.78678661789873																																																			19.30700530259886																				12.0046793717481
12782																																32.185184255411514																																																																							
12798									14.25912881675672																							13.02496225491687	10.290209328363463	14.903663099965756																											10.424317242446268			10.409903953773895						15.310625533049688																																	
12846																				17.0737667769973	12.029107343727532			14.121951903740332								43.3467849761772	14.80566416538134																									11.306407404488668						14.70971170181922						13.155203199097471						15.277937933994384		11.6439281315736					25.866889619995888		19.21170171532098		11.511029828718463													12.832657642828469			12.389309938016604
12970																																													17.343548745259792																																						19.29256116996344		14.223017589512711																		15.817461160261166
